date,min,max,mean,year,site
27-May,9.4,8.9,9.2,1954,northarm
28-May,9.4,8.9,9.2,1954,northarm
29-May,9.7,9.2,9.4,1954,northarm
30-May,-,-,-,1954,northarm
31-May,10.0,9.7,-,1954,northarm
1-Jun,10.3,9.7,10.0,1954,northarm
2-Jun,10.6,10.0,10.3,1954,northarm
3-Jun,10.6,10.3,10.4,1954,northarm
4-Jun,11.4,10.6,11.0,1954,northarm
5-Jun,11.4,10.6,11.0,1954,northarm
6-Jun,11.4,10.0,10.7,1954,northarm
7-Jun,10.3,9.2,9.7,1954,northarm
8-Jun,10.0,9.7,9.9,1954,northarm
9-Jun,10.6,10.0,10.3,1954,northarm
10-Jun,10.6,10.6,10.6,1954,northarm
11-Jun,10.3,10.3,10.3,1954,northarm
12-Jun,10.8,10.3,10.6,1954,northarm
13-Jun,11.1,10.8,11.0,1954,northarm
14-Jun,11.1,11.1,11.1,1954,northarm
15-Jun,11.4,11.1,11.3,1954,northarm
16-Jun,11.7,11.4,11.5,1954,northarm
17-Jun,11.4,10.8,11.1,1954,northarm
18-Jun,11.4,10.8,11.1,1954,northarm
19-Jun,11.4,11.1,11.3,1954,northarm
20-Jun,11.1,10.6,10.8,1954,northarm
21-Jun,11.1,10.8,11.0,1954,northarm
22-Jun,12.2,11.1,11.7,1954,northarm
23-Jun,12.2,11.7,11.9,1954,northarm
24-Jun,11.9,11.7,11.8,1954,northarm
25-Jun,11.9,11.7,11.8,1954,northarm
26-Jun,12.2,11.7,11.9,1954,northarm
27-Jun,12.2,11.9,12.1,1954,northarm
28-Jun,12.2,11.9,12.1,1954,northarm
29-Jun,12.5,12.2,12.4,1954,northarm
30-Jun,12.8,12.2,12.5,1954,northarm
1-Jul,12.5,12.2,12.4,1954,northarm
2-Jul,12.5,12.2,12.4,1954,northarm
3-Jul,12.5,12.2,12.4,1954,northarm
4-Jul,-,-,-,1954,northarm
5-Jul,12.8,12.5,-,1954,northarm
6-Jul,12.8,12.8,12.8,1954,northarm
7-Jul,13.1,12.5,12.8,1954,northarm
8-Jul,12.8,12.5,12.6,1954,northarm
9-Jul,13.1,12.8,12.9,1954,northarm
10-Jul,13.1,12.8,12.9,1954,northarm
11-Jul,13.1,12.8,12.9,1954,northarm
12-Jul,13.1,12.8,12.9,1954,northarm
13-Jul,13.6,13.3,13.5,1954,northarm
14-Jul,13.9,13.3,13.6,1954,northarm
15-Jul,13.6,13.3,13.5,1954,northarm
16-Jul,13.9,13.3,-,1954,northarm
17-Jul,-,-,-,1954,northarm
18-Jul,13.9,13.3,13.6,1954,northarm
19-Jul,14.7,13.3,14.0,1954,northarm
20-Jul,13.9,13.6,13.8,1954,northarm
21-Jul,13.9,13.3,13.6,1954,northarm
22-Jul,13.3,13.1,13.2,1954,northarm
23-Jul,13.9,13.3,13.6,1954,northarm
24-Jul,14.2,13.9,14.0,1954,northarm
25-Jul,13.9,13.6,13.8,1954,northarm
26-Jul,14.4,13.6,14.0,1954,northarm
27-Jul,13.9,13.9,13.9,1954,northarm
28-Jul,14.0,13.8,13.9,1954,northarm
29-Jul,14.1,13.4,13.8,1954,northarm
30-Jul,15.0,13.9,14.4,1954,northarm
31-Jul,15.0,14.4,14.7,1954,northarm
1-Aug,15.6,15.0,15.3,1954,northarm
2-Aug,15.6,15.3,15.4,1954,northarm
3-Aug,15.6,15.3,15.4,1954,northarm
4-Aug,15.6,15.0,15.3,1954,northarm
5-Aug,15.0,14.4,14.7,1954,northarm
6-Aug,15.6,14.4,15.0,1954,northarm
7-Aug,15.6,15.3,15.4,1954,northarm
8-Aug,15.6,15.6,15.6,1954,northarm
9-Aug,15.6,15.6,15.6,1954,northarm
10-Aug,16.1,15.6,15.8,1954,northarm
11-Aug,16.1,15.6,15.8,1954,northarm
12-Aug,16.1,15.6,15.8,1954,northarm
13-Aug,16.1,16.1,16.1,1954,northarm
14-Aug,16.1,15.6,-,1954,northarm
15-Aug,-,-,-,1954,northarm
16-Aug,15.3,15.3,15.3,1954,northarm
17-Aug,15.4,15.2,15.3,1954,northarm
18-Aug,15.4,15.4,15.4,1954,northarm
19-Aug,15.3,15.1,15.2,1954,northarm
20-Aug,16.1,15.2,15.6,1954,northarm
21-Aug,16.0,15.3,15.7,1954,northarm
22-Aug,15.9,14.6,15.3,1954,northarm
23-Aug,15.0,14.4,14.7,1954,northarm
24-Aug,14.9,14.6,14.8,1954,northarm
25-Aug,14.8,14.2,14.5,1954,northarm
26-Aug,14.4,14.1,14.3,1954,northarm
27-Aug,15.1,14.6,14.8,1954,northarm
28-Aug,15.2,15.2,15.2,1954,northarm
29-Aug,15.4,15.1,15.3,1954,northarm
30-Aug,15.6,15.3,15.4,1954,northarm
31-Aug,15.8,15.3,15.6,1954,northarm
1-Sep,15.8,15.6,15.7,1954,northarm
2-Sep,15.6,15.0,15.3,1954,northarm
3-Sep,15.6,15.6,15.6,1954,northarm
4-Sep,15.6,15.6,15.6,1954,northarm
5-Sep,15.6,14.7,15.1,1954,northarm
6-Sep,15.6,14.4,15.0,1954,northarm
7-Sep,15.3,15.0,15.1,1954,northarm
8-Sep,15.0,15.0,15.0,1954,northarm
9-Sep,15.6,15.0,15.3,1954,northarm
10-Sep,15.6,15.6,15.6,1954,northarm
11-Sep,15.6,15.0,15.3,1954,northarm
12-Sep,15.3,15.0,15.1,1954,northarm
13-Sep,15.3,15.0,15.1,1954,northarm
14-Sep,15.3,15.0,15.1,1954,northarm
15-Sep,15.3,14.4,14.9,1954,northarm
16-Sep,14.4,14.4,14.4,1954,northarm
17-Sep,14.4,14.4,14.4,1954,northarm
18-Sep,14.4,13.9,14.2,1954,northarm
19-Sep,13.9,13.3,13.6,1954,northarm
20-Sep,13.6,13.3,13.5,1954,northarm
21-Sep,13.9,13.3,13.6,1954,northarm
22-Sep,13.9,13.3,13.6,1954,northarm
23-Sep,13.3,13.3,13.3,1954,northarm
24-Sep,14.4,13.3,13.9,1954,northarm
25-Sep,14.4,14.2,14.3,1954,northarm
26-Sep,14.4,13.9,14.2,1954,northarm
27-Sep,13.9,13.6,13.8,1954,northarm
28-Sep,13.9,13.6,13.8,1954,northarm
29-Sep,13.9,13.1,13.5,1954,northarm
30-Sep,13.3,12.5,12.9,1954,northarm
1-Oct,12.5,12.2,12.4,1954,northarm
2-Oct,12.5,12.2,12.4,1954,northarm
3-Oct,12.2,11.4,11.8,1954,northarm
4-Oct,11.4,10.0,10.7,1954,northarm
5-Oct,10.3,9.7,10.0,1954,northarm
6-Oct,10.0,9.4,9.7,1954,northarm
7-Oct,9.7,9.4,9.6,1954,northarm
8-Oct,10.0,9.4,9.7,1954,northarm
9-Oct,10.6,10.0,10.3,1954,northarm
10-Oct,10.3,9.7,10.0,1954,northarm
11-Oct,10.3,9.7,10.0,1954,northarm
12-Oct,10.0,10.0,10.0,1954,northarm
13-Oct,10.0,9.2,9.6,1954,northarm
14-Oct,9.2,8.9,9.0,1954,northarm
15-Oct,9.2,8.9,9.0,1954,northarm
16-Oct,9.2,8.9,9.0,1954,northarm
17-Oct,8.9,8.9,8.9,1954,northarm
18-Oct,9.7,8.9,9.3,1954,northarm
19-Oct,9.4,9.4,9.4,1954,northarm
20-Oct,9.4,8.9,9.2,1954,northarm
21-Oct,9.2,8.9,9.0,1954,northarm
22-Oct,9.2,8.6,8.9,1954,northarm
23-Oct,8.9,8.6,8.8,1954,northarm
24-Oct,8.9,8.3,8.6,1954,northarm
25-Oct,8.3,7.8,8.1,1954,northarm
26-Oct,8.1,7.8,7.9,1954,northarm
27-Oct,8.1,7.5,7.8,1954,northarm
28-Oct,7.5,7.2,7.4,1954,northarm
29-Oct,7.5,7.2,7.4,1954,northarm
30-Oct,7.8,7.8,7.8,1954,northarm
31-Oct,7.8,7.8,7.8,1954,northarm
1-Nov,7.9,7.7,7.8,1954,northarm
2-Nov,8.5,8.0,8.3,1954,northarm
3-Nov,7.4,7.3,7.4,1954,northarm
4-Nov,7.4,6.8,7.1,1954,northarm
5-Nov,8.0,7.5,7.7,1954,northarm
6-Nov,8.6,8.1,8.4,1954,northarm
7-Nov,8.6,7.6,8.1,1954,northarm
8-Nov,8.0,7.7,7.8,1954,northarm
9-Nov,7.8,6.7,7.2,1954,northarm
10-Nov,7.1,6.5,6.8,1954,northarm
11-Nov,6.7,6.5,6.7,1954,northarm
12-Nov,6.9,6.7,6.7,1954,northarm
13-Nov,7.2,6.9,6.9,1954,northarm
14-Nov,7.2,7.0,7.0,1954,northarm
15-Nov,7.6,7.0,7.3,1954,northarm
16-Nov,7.8,6.5,7.6,1954,northarm
17-Nov,6.8,6.7,6.7,1954,northarm
18-Nov,6.7,6.7,6.7,1954,northarm
19-Nov,7.1,6.9,7.0,1954,northarm
20-Nov,7.6,6.9,7.4,1954,northarm
21-Nov,7.4,7.0,7.2,1954,northarm
22-Nov,7.5,7.2,7.3,1954,northarm
23-Nov,7.8,6.7,7.5,1954,northarm
24-Nov,7.3,6.8,7.0,1954,northarm
25-Nov,7.1,6.9,6.9,1954,northarm
26-Nov,7.5,6.9,7.2,1954,northarm
27-Nov,7.5,6.1,7.2,1954,northarm
28-Nov,6.9,6.1,6.5,1954,northarm
29-Nov,6.7,6.1,6.4,1954,northarm
30-Nov,6.4,6.2,6.3,1954,northarm
1-Dec,6.1,5.0,5.6,1954,northarm
2-Dec,5.0,4.7,4.9,1954,northarm
3-Dec,4.7,4.4,4.6,1954,northarm
4-Dec,4.7,4.4,4.6,1954,northarm
5-Dec,4.4,4.2,4.3,1954,northarm
6-Dec,4.7,3.9,4.3,1954,northarm
7-Dec,5.0,4.4,4.7,1954,northarm
8-Dec,5.0,4.4,4.7,1954,northarm
9-Dec,4.4,4.4,4.4,1954,northarm
10-Dec,5.0,4.4,4.7,1954,northarm
11-Dec,5.0,4.7,4.9,1954,northarm
12-Dec,4.7,4.4,4.6,1954,northarm
13-Dec,4.7,4.4,4.6,1954,northarm
14-Dec,5.0,4.4,4.7,1954,northarm
15-Dec,5.0,4.4,4.7,1954,northarm
16-Dec,4.4,4.4,4.4,1954,northarm
17-Dec,4.4,4.4,4.4,1954,northarm
18-Dec,4.4,4.2,4.3,1954,northarm
19-Dec,4.2,3.6,3.9,1954,northarm
20-Dec,3.6,3.3,3.5,1954,northarm
21-Dec,3.9,3.3,3.6,1954,northarm
22-Dec,3.9,3.9,3.9,1954,northarm
23-Dec,4.2,3.9,4.0,1954,northarm
24-Dec,4.4,4.2,4.3,1954,northarm
25-Dec,4.4,4.4,4.4,1954,northarm
26-Dec,4.4,3.9,4.2,1954,northarm
27-Dec,4.4,3.9,4.2,1954,northarm
28-Dec,4.2,3.9,4.0,1954,northarm
29-Dec,4.2,3.9,4.0,1954,northarm
30-Dec,3.9,3.6,3.8,1954,northarm
31-Dec,4.2,3.6,3.9,1954,northarm
1-Jan,-,-,-,1955,northarm
2-Jan,-,-,-,1955,northarm
3-Jan,3.9,3.9,3.9,1955,northarm
4-Jan,4.2,3.6,3.9,1955,northarm
5-Jan,3.3,2.8,3.1,1955,northarm
6-Jan,3.3,2.8,3.1,1955,northarm
7-Jan,3.3,2.8,3.1,1955,northarm
8-Jan,3.6,3.3,3.5,1955,northarm
9-Jan,3.6,3.3,3.5,1955,northarm
10-Jan,3.3,3.3,3.3,1955,northarm
11-Jan,3.3,3.3,3.3,1955,northarm
12-Jan,3.3,2.8,3.1,1955,northarm
13-Jan,3.3,2.2,2.8,1955,northarm
14-Jan,3.3,2.8,3.1,1955,northarm
15-Jan,3.6,3.3,3.5,1955,northarm
16-Jan,3.3,2.8,3.1,1955,northarm
17-Jan,2.8,2.5,2.6,1955,northarm
18-Jan,2.8,2.5,2.6,1955,northarm
19-Jan,2.8,2.2,2.5,1955,northarm
20-Jan,2.2,2.2,2.2,1955,northarm
21-Jan,2.8,2.2,2.5,1955,northarm
22-Jan,2.8,2.8,2.8,1955,northarm
23-Jan,2.8,2.2,2.5,1955,northarm
24-Jan,2.8,2.2,2.5,1955,northarm
25-Jan,3.3,2.8,3.1,1955,northarm
26-Jan,3.3,2.8,3.1,1955,northarm
27-Jan,3.3,2.8,3.1,1955,northarm
28-Jan,3.3,3.1,3.2,1955,northarm
29-Jan,3.3,3.3,3.3,1955,northarm
30-Jan,3.3,2.8,3.1,1955,northarm
31-Jan,-,-,-,1955,northarm
1-Feb,-,-,-,1955,northarm
2-Feb,-,-,-,1955,northarm
3-Feb,-,-,-,1955,northarm
4-Feb,-,-,-,1955,northarm
5-Feb,-,-,-,1955,northarm
6-Feb,-,-,-,1955,northarm
7-Feb,-,-,-,1955,northarm
8-Feb,3.3,3.3,3.3,1955,northarm
9-Feb,3.3,3.1,3.2,1955,northarm
10-Feb,3.3,2.8,3.1,1955,northarm
11-Feb,3.1,2.8,2.9,1955,northarm
12-Feb,3.3,2.8,3.1,1955,northarm
13-Feb,2.8,2.2,2.5,1955,northarm
14-Feb,2.5,2.2,2.4,1955,northarm
15-Feb,2.8,2.2,2.5,1955,northarm
16-Feb,3.3,2.8,3.1,1955,northarm
17-Feb,3.3,2.8,3.1,1955,northarm
18-Feb,3.3,3.1,3.2,1955,northarm
19-Feb,3.9,3.3,3.6,1955,northarm
20-Feb,3.3,2.5,2.9,1955,northarm
21-Feb,2.8,2.2,2.5,1955,northarm
22-Feb,2.8,2.2,2.5,1955,northarm
23-Feb,2.8,2.2,2.5,1955,northarm
24-Feb,2.8,2.2,2.5,1955,northarm
25-Feb,3.3,2.8,3.1,1955,northarm
26-Feb,3.3,3.3,3.3,1955,northarm
27-Feb,3.3,2.2,2.8,1955,northarm
28-Feb,2.2,2.2,2.2,1955,northarm
29-Feb,,,,1955,northarm
1-Mar,2.5,1.9,2.2,1955,northarm
2-Mar,2.5,1.9,2.2,1955,northarm
3-Mar,2.5,1.9,2.2,1955,northarm
4-Mar,1.9,1.9,1.9,1955,northarm
5-Mar,2.2,2.2,2.2,1955,northarm
6-Mar,2.2,2.2,2.2,1955,northarm
7-Mar,2.2,1.7,1.9,1955,northarm
8-Mar,1.9,1.9,1.9,1955,northarm
9-Mar,2.5,1.9,2.2,1955,northarm
10-Mar,3.1,1.9,2.5,1955,northarm
11-Mar,3.1,2.5,2.8,1955,northarm
